listing_title,property_type,city,beds,accommodates,competitor_avg_price,nightly_price
strawbale roundhouse for vegetarian,unique_stay,Bronwydd Arms,2.0,4.0,108.0,108.0
Wohnung Ruth Herrenhaus Viecheln Anno 1869,room,Behren-Lübchin,2.0,4.0,121.0,121.0
Swiss Tiny Chalet,tiny_home,Les Haudères,4.0,8.0,109.0,109.0
The Napoleonic period chalet in the High Jura,chalet,Étival,1.0,2.0,105.0,105.0
"Moulin de Boiscorde, ideal for couples and families",house,Rémalard,3.0,6.0,128.0,128.0
Rural Tuscany | Wine farm with pool | Terrarossa,farm_stay,Montepulciano,5.0,10.0,148.0,148.0
Magical Trullo in Ostuni Cis BR0740129000012213,unique_stay,Ostuni,1.0,2.0,131.5,105.0
Gruszkówka 1 Cottage (7 km from Białka ),cabin,Nowy Targ,1.0,2.0,96.0,96.0
Woodland Stargazing Cabin,unique_stay,Hollacombe,1.0,2.0,133.0,133.0
Room available in Greater London suburb home,room,London,1.0,2.0,43.0,43.0
Casa Tua,apartment,Megalochori,1.0,2.0,142.0,142.0
CABIN X GPF,farm_stay,Catsfield,1.0,2.0,225.0,225.0
Alhambra Trails 2,room,La Zubia,2.0,4.0,94.0,94.0
""" La cabane du Gozzi""",chalet,Afa,2.0,4.0,85.0,85.0
FLH Ericeira Ocean Flat,apartment,Ericeira,3.0,6.0,216.0,216.0
manoir 19 ème siècle LE COUTUREAU isaline,room,Rouffignac-de-Sigoulès,1.0,2.0,135.0,135.0
Guesthouse an der Vechte,guesthouse,Esche,2.0,4.0,50.0,50.0
L & C Deluxe Apartment - luxury and comfort,condo,Kremasti,1.0,2.0,136.0,136.0
Country House,room,Torreglia,3.0,6.0,69.0,69.0
Luxury Triple cave room,unique_stay,Mesaria,4.0,8.0,129.0,129.0
Rural Retreat on the Ashdown Forest,unique_stay,Nutley,1.0,2.0,184.0,184.0
Magazine - Oskar Schwebel -,unique_stay,Winningen,4.0,8.0,136.0,136.0
CasasdoCasinhotoD-Rustic House (pool; river view),house,Baião,1.0,2.0,131.0,131.0
Elegant Little Wyvis Lodge - Sleeps 2,unique_stay,Highland Council,3.0,6.0,159.0,159.0
Rural Aledo - El Estrecho,cabin,Totana,4.0,8.0,76.0,76.0
Nasos' Treehouse,treehouse,Fountana,2.0,4.0,98.0,98.0
FredrikLars farm at Nordmarksberg Manor,cabin,Filipstad N,2.0,4.0,44.0,44.0
"La Tana del Lupo B&B, family and outdoor sports",room,Borgo Valsugana,2.0,4.0,73.0,73.0
The Llama Lodge - a Log Cabin on a Llama Farm,cabin,Llandissilio,2.0,4.0,205.0,205.0
"Quaint ""Petra Lustig"" construction car",unique_stay,Mayen,2.0,4.0,48.0,48.0
Country House,room,Torreglia,2.0,4.0,69.0,69.0
Luxury Triple cave room,unique_stay,Mesaria,3.0,6.0,129.0,129.0
Magazine - Oskar Schwebel -,unique_stay,Winningen,4.0,8.0,136.0,136.0
CasasdoCasinhotoD-Rustic House (pool; river view),house,Baião,1.0,2.0,131.0,131.0
Elegant Little Wyvis Lodge - Sleeps 2,unique_stay,Highland Council,4.0,8.0,159.0,159.0
Rural Aledo - El Estrecho,cabin,Totana,1.0,2.0,76.0,76.0
Nasos' Treehouse,treehouse,Fountana,1.0,2.0,98.0,98.0
The North Windmill ⚓ Unique House with View,house,Akrotiri,4.0,8.0,184.0,184.0
"La Tana del Lupo B&B, family and outdoor sports",room,Borgo Valsugana,1.0,2.0,73.0,73.0
The Llama Lodge - a Log Cabin on a Llama Farm,cabin,Llandissilio,2.0,4.0,205.0,205.0
Bumble Bee Cottage,cottage,Trefeinon,4.0,8.0,141.0,141.0
Gorgeous yurt in amazing mountain/forest location,unique_stay,Cynwyd,1.0,2.0,107.0,107.0
"Diamond Home 1, romantic gem, 20 min to Acropolis",apartment,Athina,4.0,8.0,112.0,112.0
TrulLetto,unique_stay,Alberobello,3.0,6.0,114.0,114.0
"Tyga Gård, probably most beautiful on Bjäre",cabin,Båstad V,1.0,2.0,94.0,94.0
Silk Trulli,house,Coreggia,1.0,2.0,86.0,86.0
The Olive Tree Court,unique_stay,Martina Franca,1.0,2.0,92.0,92.0
LaCorte CAMERA BLU NEAR FERRARI WITH PRIVATE PARK,room,Montale Rangone,1.0,2.0,73.0,73.0
Friedrichshain Beautiful Sunny Room with Balcony,room,Berlin,2.0,4.0,135.0,135.0
Cozy en-suite double room in S. Peter's / Borgo,room,Rome,1.0,2.0,51.5,60.0
Star Night Room - Van Gogh Hills B&B,room,Santa Lucia,3.0,6.0,68.0,68.0
La Petite Chaumière,house,Reclesne,1.0,2.0,85.0,85.0
Green - Lawns in Tuscany,farm_stay,Asciano,3.0,6.0,91.0,91.0
Casa Cerbaia | Betulla,farm_stay,Pennabilli,4.0,8.0,86.0,86.0
"Sommerfjøset on Hovelsrud, Helgøya",unique_stay,Nes På Hedmark,2.0,4.0,328.0,328.0
Cozy cottage in Torsåker (Hofors),cabin,Torsåker,4.0,8.0,75.0,75.0
Nice place for your stay in Paris,room,Saint-Mandé,1.0,2.0,86.0,86.0
"Peaceful, wooden garden cabin",cabin,Walpole,1.0,2.0,93.0,93.0
Rural farm-Spacious triple bedroom with en suite,other,East Farndon,1.0,2.0,71.0,71.0
Private room in the heart of nature,room,Rüthen,1.0,2.0,42.0,42.0
Xavier House,room,Rome,1.0,2.0,51.5,43.0
"Akti Karras, Plaka Naxos (up to 2 guests)",apartment,Plaka,1.0,2.0,55.0,55.0
Studio lookout,condo,Saint-Lary-Soulan,1.0,2.0,31.0,31.0
Bavarian room in the Dolomites,room,Borgo Valbelluna,1.0,2.0,84.0,84.0
Cosy interesting loam house,room,Kassel,1.0,2.0,78.0,78.0
Nice room in duplex + terrace near BCN,room,Barcelona,1.0,2.0,55.0,55.0
Lost Paradise - A night into the Alentejo!,unique_stay,Sabóia,5.0,10.0,85.0,85.0
Cabin in the wild,other,Mont-le-Vernois,2.0,4.0,95.0,95.0
Amazing shipping container house + sea views+ WIFI,unique_stay,Dirlaught,1.0,2.0,164.0,164.0
"Countryside Sleeps, Bakery, Homestay",unique_stay,Witzenhausen,1.0,2.0,73.0,73.0
Kimiro Hotel Tsilivi,room,Planos,1.0,2.0,97.0,97.0
Studio apartment with AC - Suite 3,apartment,Kadıköy,3.0,6.0,34.0,34.0
Sicilian Mountain Oasis - Entire Villa (Smart W.),cottage,Nicosia,2.0,4.0,100.0,100.0
İzmir Bungalow. ( Urla treehouse 1),bungalow,Izmir,1.0,2.0,74.0,74.0
The Folly - Cornwall,guesthouse,Perranwell Station,1.0,2.0,111.0,111.0
Echoes Exclusive Suite,apartment,Areti,2.0,4.0,526.0,526.0
Delightfull Dome with Hot tub & sauna on the beach,unique_stay,Wapnica,1.0,2.0,319.0,319.0
Romantic Ocean View Couples Retreat Cornwall,cabin,Millbrook,2.0,4.0,357.0,357.0
THE AQUARIUM … waterfront 🧜🏾‍♂️,guest_suite,La Marsa,3.0,6.0,61.0,61.0
Gäststuga Knorrasjön,guesthouse,Jonstorp,2.0,4.0,95.0,95.0
Villa Laurito,house,Positano,1.0,2.0,185.0,185.0
"""La Parra"", rural tourism. Your home in paradise.",cottage,Benalauría,1.0,2.0,67.0,67.0
Hascherle Hitt,tiny_home,Muldenhammer,2.0,4.0,86.0,86.0
Villa Trouz Ar Mor,house,Audierne,2.0,4.0,135.0,135.0
İzmir Bungalow. ( Urla treehouse 1),bungalow,Izmir,2.0,4.0,74.0,74.0
The Folly - Cornwall,guesthouse,Perranwell Station,1.0,2.0,111.0,111.0
Echoes Exclusive Suite,apartment,Areti,1.0,2.0,526.0,526.0
Delightfull Dome with Hot tub & sauna on the beach,unique_stay,Wapnica,2.0,4.0,319.0,319.0
Romantic Ocean View Couples Retreat Cornwall,cabin,Millbrook,1.0,2.0,357.0,357.0
THE AQUARIUM … waterfront 🧜🏾‍♂️,guest_suite,La Marsa,2.0,4.0,61.0,61.0
Gäststuga Knorrasjön,guesthouse,Jonstorp,3.0,6.0,95.0,95.0
Villa Laurito,house,Positano,2.0,4.0,185.0,185.0
Peaceful Country Treehouse Nr Penzance & St Ives,treehouse,Penzance,1.0,2.0,294.0,294.0
"""La Parra"", rural tourism. Your home in paradise.",cottage,Benalauría,1.0,2.0,67.0,67.0
Cabaña ecológica de madera en la naturaleza,cabin,La Atalaya,3.0,6.0,80.0,80.0
Gallas Pod House,tiny_home,Vouzela,2.0,4.0,57.0,57.0
Hascherle Hitt,tiny_home,Muldenhammer,1.0,2.0,86.0,86.0
Waterfront #41Design - CozyCityCenter Flat,apartment,Thessaloniki,2.0,4.0,70.0,70.0
Villa Trouz Ar Mor,house,Audierne,2.0,4.0,135.0,135.0
"Treehouse Izmir 
View all our houses please ..",treehouse,Torbalı,3.0,6.0,40.0,40.0
Kaktus Suites Fethiye - City Bungalow 2 w/pool,bungalow,Fethiye,1.0,2.0,69.0,69.0
Yurt op Off-Grid Homestead,unique_stay,Finestrat,1.0,2.0,49.0,49.0
Cabin into the wild,cabin,Idrac respailles,1.0,2.0,77.0,77.0
💎Boka Bay view apartment.💎,apartment,Kotor,3.0,6.0,93.0,93.0
Seaside & Garden Single family home,house,Chalkida,2.0,4.0,104.0,104.0
Del Sol. Studio across the sea 1.,house,Skopelos,2.0,4.0,61.0,61.0
"16th Century Scottish Borders Tower, by Earlston",other,Scottish Borders,3.0,6.0,252.0,252.0
Porto Bello Lux ( Sea View & Swimming Pool),loft,Baošići,4.0,8.0,58.0,58.0
"Spectacular view of Supertubos beach, Peniche",house,Atouguia da Baleia,3.0,6.0,126.0,126.0
1A chalet resting crickets + hiking with indoor sauna,house,Bad Sankt Leonhard im Lavanttal,3.0,6.0,123.0,123.0
Beachfront apartment with perfect seaview,house,Punta Prima,4.0,8.0,231.0,231.0
2 Cabins perched above a pond!,treehouse,Verson,4.0,8.0,98.0,98.0
Casale La Quercia - Tuscany country house,house,Vaiano,2.0,4.0,111.0,111.0
"A Boscastle barn, rustic simplicity stunning views",cottage,Boscastle,1.0,2.0,141.0,141.0
House with breathtaking views!,cabin,County Wicklow,3.0,6.0,222.0,222.0
La Casita de Las Negras,house,Las Negras,4.0,8.0,370.0,370.0
King's Windmill - A little house in the woods,cabin,Serrazone,2.0,4.0,111.0,111.0
Q3 BNB Premium Residence - The Engineering Tower,unique_stay,Ploemeur,1.0,2.0,147.0,147.0
"The Haven Hut, warm, cosy and cute.",cabin,Bridge of Earn,1.0,2.0,64.0,64.0
Washitsu.Casa camper Parking place w/house access,unique_stay,Rif,1.0,2.0,16.0,16.0
Seaside & Garden Single family home,house,Chalkida,2.0,4.0,104.0,104.0
Del Sol. Studio across the sea 1.,house,Skopelos,2.0,4.0,61.0,61.0
"16th Century Scottish Borders Tower, by Earlston",other,Scottish Borders,3.0,6.0,252.0,252.0
Porto Bello Lux ( Sea View & Swimming Pool),loft,Baošići,4.0,8.0,58.0,58.0
Ben's hat,unique_stay,County Durham,2.0,4.0,82.0,82.0
1A chalet resting crickets + hiking with indoor sauna,house,Bad Sankt Leonhard im Lavanttal,3.0,6.0,123.0,123.0
Beachfront apartment with perfect seaview,house,Punta Prima,4.0,8.0,231.0,231.0
2 Cabins perched above a pond!,treehouse,Verson,4.0,8.0,98.0,98.0
"A Boscastle barn, rustic simplicity stunning views",cottage,Boscastle,1.0,2.0,141.0,141.0
Central luxury /Hauptbahnhof,room,Wien,3.0,6.0,92.0,92.0
House with breathtaking views!,cabin,County Wicklow,2.0,4.0,222.0,222.0
King's Windmill - A little house in the woods,cabin,Serrazone,1.0,2.0,111.0,111.0
Q3 BNB Premium Residence - The Engineering Tower,unique_stay,Ploemeur,1.0,2.0,147.0,147.0
"The Haven Hut, warm, cosy and cute.",cabin,Bridge of Earn,1.0,2.0,64.0,64.0
Delightful rustic treehouse,treehouse,Mons,1.0,2.0,42.0,42.0
Washitsu.Casa camper Parking place w/house access,unique_stay,Rif,1.0,2.0,16.0,16.0
Apartment-Mansarda Vista Castello,condo,Roviano,4.0,8.0,61.0,61.0
Bettyjems Stage Refuge,house,Jumilhac-le-Grand,4.0,8.0,20.0,20.0
Mountain hut in the Elbe sandstone with log cabin sauna,cabin,Rosenthal-Bielatal,4.0,8.0,98.0,98.0
"Shepherd's hut ""Wolkakkrazer"" near Wolfegg",unique_stay,Wolfegg,1.0,2.0,57.0,57.0
Private domed Copula @ Free Spirit horse refuge,unique_stay,Atzeneta del Maestrat,3.0,6.0,63.0,63.0
Levanda Home,house,Taktikoupoli,2.0,4.0,73.0,73.0
Face à la mer Brestoise,apartment,Le Relecq-Kerhuon,3.0,6.0,87.0,87.0
DEEP OCEAN BUNGALOWS-PANORAMIC &DOUBLE &HALF BOARD,unique_stay,Fethiye,1.0,2.0,115.0,115.0
Xitaca do Pula,chalet,Covilhã,2.0,4.0,78.0,78.0
Infinity Abram,apartment,Abram,1.0,2.0,61.0,61.0
King bedroom in historic house with garden access,room,Halsham,2.0,4.0,92.0,92.0
The Loggia,house,Rocchetta Nervina,1.0,2.0,169.0,169.0
Ca' Roncate,house,Cernobbio,1.0,2.0,127.0,127.0
Trailer Paradise Ivonete _unwind,unique_stay,Wettringen,3.0,6.0,46.0,46.0
"Views to the valley, Wi-Fi, Air-Con, terrace,",house,Otívar,2.0,4.0,79.0,79.0
Casa del Mago - Castelmezzano,house,Castelmezzano,3.0,6.0,93.0,93.0
Moinho do Sr. Arnaldo - Big Windmill at Peniche,unique_stay,Atouguia da Baleia,1.0,2.0,196.0,196.0
canopy house,unique_stay,La Canourgue,4.0,8.0,81.0,81.0
Panucci's house- halfway between the sea and mountain,house,Dinami,2.0,4.0,25.0,25.0
Peacock House,cottage,Crossdoney,2.0,4.0,80.0,80.0
"Aura House 2bds Eco Bamboo House, Pool, River View",villa,Abiansemal,2.0,4.0,336.0,513.0
BALIAN TREEHOUSE w beautiful pool,unique_stay,Balian Beach,1.0,2.0,117.0,117.0
Bali Bamboo House | Rescape Ubud - Relief Villa,unique_stay,Ubud,1.0,2.0,130.0,171.0
❣️Romantic Staycation-PrivateSunset Pool@megananda,villa,Ubud,1.0,2.0,178.42857142857142,111.0
Dome - Bamboo Villa in Eco Six Bali,cabin,Tampaksiring,1.0,2.0,420.0,420.0
Treehouse De Valentine,treehouse,Balamban,5.0,10.0,255.0,255.0
Luxury 5 BDR Resort w/ Gym & Ricefield View,villa,Tampaksiring,5.0,10.0,373.25,506.0
"Exclusive Private Island + Brother Island, El Nido",unique_stay,El Nido,11.0,22.0,469.0,469.0
15min walk to MRT Private room for 3 Free Brekkie.,room,Chom Phon,3.0,6.0,31.0,31.0
Elegant & luxurious 3 BR villa rice-fields pano,villa,Kecamatan Ubud,4.0,8.0,238.5,322.0
Exclusive Beach Villa - Balian Beach,villa,Tabanan,4.0,8.0,240.0,240.0
"180° VIEW, PRIVATE POOL VILLA..",villa,Singaraja,1.0,2.0,206.0,206.0
White Breeze Pool 1BD Apartment,apartment,Phuket,1.0,2.0,44.75,64.0
Beautiful villa on the edge of BLUE LAGOON,villa,Nusa Ceningan,1.0,2.0,264.0,264.0
Intimate Private Pool Villas in Ubud center,villa,Kecamatan Ubud,1.0,2.0,238.5,209.0
50% OFF | Ipian Cinta with Private Pool jacuzzi,unique_stay,Kecamatan Ubud,1.0,2.0,107.0,142.0
Love Nest for honeymooner at best location,villa,Kecamatan Kuta Utara,1.0,2.0,275.6666666666667,251.0
Leafy Greens Chiangmai : Mushroom M2,unique_stay,Mueang Chiang Mai District,1.0,2.0,22.0,22.0
Love Nest for honeymooner at best location,villa,Kecamatan Kuta Utara,1.0,2.0,275.6666666666667,251.0
❣️Secluded Getaway Staycation+SunsetPool@megananda,villa,Payangan,1.0,2.0,111.0,111.0
Leafy Greens Chiangmai : Mushroom M2,unique_stay,Mueang Chiang Mai District,1.0,2.0,22.0,22.0
#3# Beautiful Balinese Villa with Private Pool,villa,Ubud,1.0,2.0,178.42857142857142,137.0
"Palma Villa, Spectacular Sea View Villa with Pool",villa,เกาะพงัน,2.0,4.0,238.0,238.0
Luxurious Private Pool Villa with Garden North of Ubud,villa,Tegallalang,2.0,4.0,126.0,126.0
Tiny Tall Haus Ubud Getaway!,tiny_home,Kecamatan Ubud,1.0,2.0,95.0,95.0
Pondok Prapen -Ubud Center Private Pool Villa,bungalow,Ubud,3.0,6.0,217.0,217.0
Beetle - Bamboo Villa in Eco Six Bali Resort,villa,Tampaksiring,2.0,4.0,373.25,458.0
the naked house,house,Ko Samui,7.0,14.0,205.0,205.0
"""Villa Sauvage 2 br"" - a magic horizon of coziness",villa,Kamala,2.0,4.0,122.0,122.0
Bathing Private Exclusive Cottage,house,Mabini,6.0,12.0,183.0,183.0
Zen Hideaway #3 - ultimate Wabi-sabi experiences,unique_stay,Abiansemal,2.0,4.0,235.0,235.0
"Explore, Experience, Enjoy T-HOUSE Lakestaycation!",tiny_home,Cavinti,2.0,4.0,39.0,39.0
Hidden Bamboo Bali,unique_stay,Tampaksiring,1.0,2.0,136.0,136.0
Poolside room in large villa. 5 minutes to beach.,room,Kecamatan Denpasar Selatan,1.0,2.0,34.0,34.0
Ba hao Residence x MAITRI CHIT ROOM,room,Bangkok,1.0,2.0,96.0,96.0
Pool Villa by Humble,hotel,Ko Samui,1.0,2.0,63.0,63.0
[VR] 2BR High Skyline Ocean View @ Pattaya,apartment,Muang Pattaya,3.0,6.0,99.5,136.0
Villa Seminyak 1 Bedroom 10 Mins to Beach,house,Kuta,1.0,2.0,69.0,69.0
"DEEPSPACE villa X1 ,Secret Address on Quiet Beach",villa,Ko Lanta District,3.0,6.0,164.0,164.0
BALIAN TREEHOUSE 2 - with private pool,other,Balian Beach,3.0,6.0,131.0,131.0
Private pool two bedroom villa - villa the cow,villa,Thành phố Hội An,2.0,4.0,97.0,97.0
清迈 The Astra Condo长康路无边泳池豪华公寓古城夜市边Chang Khlan road,apartment,清迈,1.0,2.0,33.0,33.0
Garden view twin room with breakfast-Ngan Phu,other,Thành phố Hội An,2.0,4.0,24.0,24.0
Heritage of Art Villa Iseh in Sidemen East Bali,room,Sidemen,1.0,2.0,154.0,154.0
One-Bedroom Suite in Patong Beach,apartment,Tambon Patong,2.0,4.0,57.0,49.0
"【CENTRAL STUDIO】0-min BTS ASOK, FAST WIFI, NETFLIX",condo,Khet Watthana,4.0,8.0,58.0,58.0
"Eagles Nest, Luxury Villa, Koh Yao Noi",villa,Koh Yao Noi,22.0,44.0,986.0,986.0
FIG TREE BOUTIQUE VILLA,hotel,Thành phố Hội An,3.0,6.0,30.0,30.0
Seaview Bedrock Home,unique_stay,Ao nang,3.0,6.0,131.0,131.0
Alamanda Tropical Wooden Villa - Pool View,villa,Langkawi,2.0,4.0,97.0,97.0
Perch Villa - Clifftop villa spectacular sea view,villa,Koh Lanta Island,1.0,2.0,162.0,162.0
Tropical Private Room Canggu 3 by Rios Guest House,guesthouse,Kecamatan Kuta Utara,3.0,6.0,33.0,33.0
"Luxury Beach Front Pool Villa, Phuphatara Rayong",villa,Rayong,1.0,2.0,359.0,359.0
TROPICAL POOL BEACH VILLA III | Beach-Pool-Freedom,cottage,Lamai Beach,1.0,2.0,142.0,142.0
Samu House. Tropical stay private pool.Adults Only,cabin,Kecamatan Ubud,1.0,2.0,108.0,108.0
Romantic 1br Villa - Ubud Jungle,villa,Tampaksiring,1.0,2.0,373.25,363.0
umatreehouse,treehouse,Tampaksiring,1.0,2.0,133.0,133.0
"Promo Price! Magical Treehouse, Stunning Views.",treehouse,Ubud,4.0,8.0,280.0,280.0
Tropical Glamping 🌴 Cliff Side Ocean View + Net🐬,bungalow,Nusapenida,1.0,2.0,474.0,474.0
Cliffside Bamboo Treehouse - Private Pool & View,treehouse,Klungkung,1.0,2.0,698.5,484.0
Dreamy Cliffside Bamboo Villa with Pool and View,cabin,Klungkung,1.0,2.0,484.0,484.0
25%OFF! Romantic Honeymoon Escape in Ubud Paradise,cottage,Ubud,1.0,2.0,117.0,117.0
Acala Lembongan-Deluxe Suite Sea View,hotel,Nusa Lembongan,1.0,2.0,92.0,92.0
NEW 5BR Luxury Villa in Ubud: Pool and Jungle View,villa,Ubud,5.0,10.0,178.42857142857142,451.0
Seaside Designer Treehouse ~ Stunning Views ~ Pool,treehouse,Kabupaten Buleleng,1.0,2.0,121.0,121.0
private villa with infinity pool hill and sea view,room,Kabupaten Buleleng,1.0,2.0,53.0,53.0
50% OFF | Ipian Jiwa Eco Bamboo Uniquely Escape,unique_stay,Ubud,6.0,12.0,130.0,89.0
"Private Modern Beachfront Villa: Pool, Sunset View",villa,Bacnotan,9.0,18.0,628.0,628.0
SoftLaunch IbizaInspiredBeachfrontVilla inBatangas,villa,Lian,1.0,2.0,473.0,473.0
Stunning Room Near Ubud Market - Outdoor Pool!!,hotel,Kecamatan Ubud,1.0,2.0,44.0,44.0
Hotel Room with Private Plunge Pool Siray Bay#2,hotel,Tambon Ratsada,1.0,2.0,71.0,71.0
Suite 2 - Beachfront Luxury Suite on Bingin Beach,guest_suite,Bingin Beach,1.0,2.0,267.0,267.0
"Private Modern Beachfront Villa: Pool, Sunset View",villa,Bacnotan,6.0,12.0,628.0,628.0
TROPICAL - DESIGNER LOFT - Seminyak,loft,Seminyak,1.0,2.0,220.0,220.0
SoftLaunch IbizaInspiredBeachfrontVilla inBatangas,villa,Lian,9.0,18.0,473.0,473.0
Hotel Room with Private Plunge Pool Siray Bay#2,hotel,Tambon Ratsada,1.0,2.0,71.0,71.0
Suite 2 - Beachfront Luxury Suite on Bingin Beach,guest_suite,Bingin Beach,3.0,6.0,267.0,267.0
3 Bdr - The Dream Cliffside Bamboo Villa By Avana,treehouse,Klungkung,1.0,2.0,698.5,913.0
Madara Ubud Villas,villa,Kecamatan Ubud,2.0,4.0,238.5,194.0
New 2BR+2Bath Eco Home,unique_stay,Tambon Bo Put,2.0,4.0,53.0,53.0
Le Aiken Xperience - Unique Bamboo House,other,Penebel,2.0,4.0,252.0,252.0
Six-Bamboo Villa in Eco Six Bali Resort,house,Kecamatan Tampaksiring,1.0,2.0,458.0,458.0
One-Bedroom Villa Suite Deluxe,house,Kecamatan Kuta Selatan,1.0,2.0,229.0,229.0
Enchanted Hobbit Treehouse Nestled in the Jungle,treehouse,Tegallalang,1.0,2.0,207.0,207.0
Romantic hideaway for two,house,Tegallalang,2.0,4.0,33.0,33.0
PICO DE LORO ( Santorini Vibe),apartment,Nasugbu,4.0,8.0,112.0,112.0
*NEW* Lovely New 3BR Villa Stunning Jungle View,villa,Kecamatan Tampaksiring,1.0,2.0,381.0,381.0
Nalu Bingin - 1 Bedroom Villa,villa,South Kuta,2.0,4.0,202.0,202.0
Pelangi Treehouse (formerly Skai Joglo),villa,Kecamatan Ubud,1.0,2.0,238.5,229.0
°3 Charming room in Bingin beach,other,Pecatu,1.0,2.0,155.0,155.0
"Luxe Villa in Tropical Oasis, Ubud. Walk to town.",villa,Ubud,1.0,2.0,178.42857142857142,176.0
4br Lovina Paradise - Ocean View,villa,Banjar,4.0,8.0,460.0,460.0
"Baby & kids friendly, JB CIQ, Romantic Duplex",condo,Johor Bahru,2.0,4.0,59.5,75.0
Tiny House by The Modern Escape,tiny_home,Concepcion,2.0,4.0,128.0,128.0
Gorgeous luxury 1 bedroom villa in heart of Canggu,villa,Kecamatan Kuta Utara,1.0,2.0,275.6666666666667,325.0
Boho-Chic villa with ocean&rice field view,villa,Kecamatan Seririt,3.0,6.0,201.0,201.0
Ceylon Villas 4 - 1BR Villa! 5 mins to Ubud 🌴,villa,Ubud,1.0,2.0,178.42857142857142,125.0
Gypsea Bali Bungalow with private bathroom and AC,other,Kecamatan Kuta Selatan,1.0,2.0,155.0,155.0
"DAY CLOUDS, Ubud",unique_stay,Kecamatan Ubud,1.0,2.0,107.0,72.0
Cozy Loft Cabins Near Tagaytay,cabin,Amadeo,8.0,16.0,252.0,252.0
Ocean View and Private Pool at Balian Beach,other,Tabanan,1.0,2.0,116.0,116.0
Wanagiri Cabin,cabin,Kecamatan Sukasada,2.0,4.0,148.0,148.0
Batan Sabo Cottage,other,Nusapenida,1.0,2.0,72.0,72.0
Bamboo Turtle cabin river view 5km to Ubud center,treehouse,Kecamatan Ubud,1.0,2.0,118.0,118.0
PROMO! Luxury Villa Escape in Ubud 2 BR,house,Kecamatan Ubud,2.0,4.0,306.0,306.0
Villa Sea Spray Bali Cowrie literally on the Ocean,apartment,Candidasa,2.0,4.0,130.0,130.0
The Nude House,house,Kecamatan Selat,2.0,4.0,305.0,305.0
Tiny Poolvilla in the heart of Phuket,villa,Kathu,1.0,2.0,119.0,119.0
Bamboo Turtle cabin river view 5km to Ubud center,treehouse,Kecamatan Ubud,1.0,2.0,118.0,118.0
PROMO! Luxury Villa Escape in Ubud 2 BR,house,Kecamatan Ubud,2.0,4.0,306.0,306.0
The Nude House,house,Kecamatan Selat,2.0,4.0,305.0,305.0
Tiny Poolvilla in the heart of Phuket,villa,Kathu,1.0,2.0,119.0,119.0
Instagrammable Loft Studio in EkoCheras KL,apartment,Kuala Lumpur,1.0,2.0,60.285714285714285,60.0
❤PROMO Beachfront oasis. Private pool and firepit,villa,Kecamatan Banjar,4.0,8.0,189.0,189.0
Arte Mont Kiara Muji Suites,condo,Federal Territory of Kuala Lumpur,3.0,6.0,51.0,51.0
My Canopy Tagaytay (with thermal pool),villa,Tagaytay,17.0,34.0,424.0,424.0
Luxe Suite: Villacellabella Ubud Bali Instaworthy,room,UbudUbud,1.0,2.0,490.0,490.0
CITY APART ★ CENTRAL City-FREE Pool & Gym,apartment,phường 6,1.0,2.0,31.0,31.0
Villa Akasha - Bio-Architected Eco Dome,other,Ubud,1.0,2.0,86.0,86.0
#1Beach Front Villa room Villa Blanca Beach Front,hotel,Lian,1.0,2.0,71.0,71.0
Luxury 1 BR Villa w/ Private Pool & Ricefield View,villa,Ubud,4.0,8.0,178.42857142857142,92.0
Yuma • Atlantis Melaka/3BR 8Pax WiFi Balcony SeaView,apartment,Melaka,2.0,4.0,32.0,40.0
Ceylon Villas 1 - 2BR Villa! 5 mins to Ubud 🌴,villa,Tampaksiring,1.0,2.0,373.25,166.0
"Newly furnished first row of seaview in Moon, sea view, perfect sunrise ~ long term rental welcome (also discounted)",house,頭城鎮,2.0,4.0,155.0,155.0
B Designer King Bed with Partial SEA VIEW bath,hotel,Kathu District,2.0,4.0,75.0,75.0
"Vaikuntha#3, The Pursuit of Perfect Rustic Beauty",unique_stay,Selat,2.0,4.0,201.0,201.0
DELUXE SEA VIEW + Hot Tub @Koh Samui,hotel,Tambon Maret,1.0,2.0,72.0,72.0
Spacious Apt in City of Angels,apartment,Bangkok,1.0,2.0,54.5,19.0
"Luxury room & Sky pool, in Phuket town",apartment,Phuket,1.0,2.0,44.75,40.0
Mt Batur Sunrise & overnight,unique_stay,Kintamani,1.0,2.0,42.0,42.0
Tide 2 in Penida Tides Cottage,other,Nusa Penida,1.0,2.0,32.0,32.0
Ceylon Villas 2 - 2BR Villa! 5 mins to Ubud 🌴,villa,Ubud,2.0,4.0,178.42857142857142,157.0
Private room4 Legian/breakfast/close to Kuta beach,room,Kabupaten Badung,1.0,2.0,81.0,81.0
"Luxury Ocean Front, 2,500sq ft Private Eco Villa!",villa,Karangasem,1.0,2.0,450.0,450.0
★Studio in Seafront Private Villa w/infinity pool★,apartment,PHUKET,3.0,6.0,48.0,53.0
Veranda Residence pattaya 2bedroom partial seaview,condo,Na Chom Thian,2.0,4.0,83.0,83.0
Cool Home w Garden near Sea,house,Hua Hin,2.0,4.0,77.0,77.0
Cozy & Modern Loft w/ high speed wi-fi and Netflix,loft,Pasig,1.0,2.0,35.0,35.0
Cozy Place near Shopping Center,apartment,Phuket,2.0,4.0,44.75,35.0
Ocean View Pool Villa @ Balian Beach,house,Tabanan,1.0,2.0,170.0,170.0
